%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248   -5.120824631334 -174.725899195494    0.6536    2.0286  -0.010   15
52912.205   -0.186814733641   -0.137599192840    0.1648    0.2576   0.067   16
52914.586  -11.419349816388   -4.578998402849    1.2513    1.1747   0.058   38
52915.269   -0.239290818882    0.001101595615    0.1653    0.2710  -0.069   23
52919.203    0.225158368711    0.278802005482    0.2086    0.2421   0.333    9
52921.241   -0.001679216401    0.021700797959    0.1937    0.2587  -0.101   36
52926.205    0.020150787715    0.077500796181    0.1512    0.2099   0.174   17
52929.269   -0.124683154096   -0.729899993246    0.2015    0.4366  -0.165   26
52933.203    0.323393673590   -0.000900003272    0.1716    0.1960   0.174   20
52934.240   -0.455492221348    0.209102405790    0.4359    0.5588  -0.360   18
52940.205   -0.506426734007    0.133700397953    0.2546    0.3489   0.060   16
52943.269   -0.482917513491    0.739101605518    0.3653    0.3634   0.138   21
52947.203   -0.461369669657   -0.280299597932    0.6167    0.4719   0.319    9
52954.227    0.543094588998    0.456199200016    0.3663    0.3016  -0.089   16
52955.582  -15.911721028038  -10.733198394064    1.1500    1.0897   0.035   48
52957.269   -0.095995013331   -0.207100794114    0.2301    0.3160  -0.310   45
52961.203   -0.018051767214    0.111499200273    0.1740    0.2408   0.239   19
52968.205    0.034985202268    0.575499596778    0.1846    0.2341   0.266   18
52969.268   -0.629712831984    0.134499605053    0.2534    0.2948   0.079   23
52975.203   -0.067867947713   -0.476999994703    0.1916    0.2230   0.110   22
52983.227   -0.082702362266   -0.413499596164    0.1256    0.2005  -0.120   15
52985.266    0.199969931794   -0.050598002588    0.2268    0.2815   0.329   19
52989.229   -0.143154725410   -0.263397598133    0.2521    0.2631   0.235   13
52990.229   -0.319192196265   -0.393400793541    0.2816    0.6685  -0.077  137
52991.252   -0.111806679903   -0.269099993488    0.0492    0.0722   0.089  288
52996.205   -0.146230997930   -0.216799199393    0.1662    0.2160   0.306   13
53003.203    0.077244718057    0.519199198834    0.1561    0.2020   0.035   11
53010.205   -0.066608535412    0.283600803641    0.1546    0.2051   0.138   15
53017.203   -0.153787662639    0.216302406386    0.1328    0.1994   0.199   20
53025.206   -0.146372078071    0.806601595116    0.1001    0.3077   0.026   31
53031.203   -0.090117755928    0.344800795915    0.0786    0.2259   0.079   45
53038.205   -0.188631784767   -0.120999594344    0.2201    0.4753   0.140   28
53045.207   -0.404974267374    0.045100806290    0.1975    0.2851   0.204   17
53052.205   -0.114325695410   -0.114098401127    0.0763    0.2258  -0.183   43
53053.228   33.741553907586    0.403999202092    4.6880    0.4426   0.688    5
53059.203   -0.305338470053    0.121701599198    0.1167    0.2753  -0.053   21
53065.873    1.083807997214    0.340300805135    0.9653    1.6729   0.286   16
53066.585    3.095110631755   11.831702401821    1.7373    1.5055   0.118   23
53073.203   -0.492015559876    0.210801603373    0.4166    0.2605   0.356   15
53074.237   -0.651680479918    0.134100001503    0.6277    0.7952   0.150   14
53080.205    0.575000082424   -0.041698804409    1.2577    0.3964   0.345    4
53087.207    0.581854591845    0.308199597043    0.5417    0.3183   0.351   14
53094.209   -0.101872461640   -0.641397603829    0.1310    0.2774  -0.323   14
53101.583   -3.647854033318   -7.702999198500    1.1271    1.0329   0.083   31
53102.230    0.537637135696   -0.745599601260    0.8368    0.5892  -0.174   68
53109.246    0.128323747180   -0.273297595754    0.2251    0.3101   0.078   53
53122.205   -0.207244436222    0.824601596605    0.2180    0.3902   0.107   12
53129.207   -0.140494820668    0.235101602186    0.2795    0.1886  -0.074    5
53131.252    0.087320207368   -0.418100395905    0.0769    0.1035  -0.196  244
53136.227   -0.122443053455   -0.153899996747    0.2732    0.1763  -0.083    9
53137.224   -0.056391965961   -0.269899200589    0.7298    0.3580  -0.068   20
53138.247   -5.810287862080    6.391299598363    0.2234    0.2266   0.208   11
53143.207   -0.205145224814    0.200901605751    1.4065    0.3102   0.767    4
53145.581  -45.826018126004  -35.339900401254    2.9428    3.5878  -0.114   28
53150.205   -0.114046780544    0.107499596425    0.2194    0.3290   0.077   12
53158.208   -0.288267391181    0.313099204163    0.1708    0.4679   0.259   15
53164.205    0.037645107010   -1.141200004895    0.1385    0.4355   0.151   26
53172.237    0.502651933428   -0.985899605155    0.6678    1.3265  -0.463    5
53185.207    0.079065014599   -0.609098397319    0.1682    0.4697   0.130   67
53193.206   -0.369710341146   -0.239597999041    0.2370    0.4179  -0.311   33
53199.225    0.037504026869   -0.351100793239    0.2123    0.2778   0.142   27
53200.230    0.221658855768   -0.132098402617    0.4486    0.5848   0.345   51
53201.256   -0.212701889524   -0.161697599310    0.1125    0.1645  -0.016  128
53206.205    0.257204942278    0.235900796497    0.2342    0.2592   0.219   15
53207.228    0.183036496740   -1.414998000371    0.4571    0.8815  -0.139   24
53213.207   -0.207664240322    0.253501207226    0.2737    0.3032   0.258   16
53220.202   -0.205424139680    0.765799200053    0.2091    0.3195   0.248   14
53227.225   -0.184853356958   -0.375598803259    0.2377    0.2522   0.294   12
53229.285   -1.818190839398 -143.144398798256    0.8748    2.6025   0.234   12
53234.205    0.328431322792    0.682502400196    0.1989    0.3313   0.253   17
53235.228    0.702339704940   -0.173498399647    0.4113    0.6460  -0.017   50
53241.225    0.314718676721   -0.587700000665    0.2873    0.3241  -0.031   38
53248.205    0.357676911476    2.892099603002    0.2090    0.4683  -0.058   40
53254.995    0.625094986882   -0.003898794887    0.8371    0.9477  -0.099   90
53256.204    0.299185734108   -1.961999996070    0.2677    0.7518  -0.564   65
53262.224    0.335709072636    0.323701206639    0.2298    0.2825   0.211   25
53262.582   42.234280580103  -47.449598400817    3.1060    2.0762   0.117   27
53263.228    2.135008536619    1.398499198046    0.5505    0.9744   0.341   34
53264.247   -0.117825208353   -0.620697592524    0.3337    0.3821  -0.102   14
53269.204    0.146654238353    2.545901998019    0.3325    0.3091   0.321   10
53276.205   -0.275253273169    0.028299602661    0.2445    0.2792   0.068   23
53278.247    0.329549654951    0.315500406600    0.2621    0.3395   0.085   21
53283.207    0.045900108872   -0.120297602280    0.2082    0.2184  -0.015   19
53284.226    0.024211184898    0.397202398972    0.7974    1.8216  -0.293   10
53285.253    0.257063862137    0.211302003095    0.0850    0.1215  -0.085  156
53290.205    0.215083070307   -0.162597602582    0.2162    0.2101   0.115   24
53297.204    0.021272556197    0.261799196721    0.2251    0.2328   0.093   18
53304.224    0.079484818699    0.168299997938    0.1825    0.3668  -0.050   35
