%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248    8.141665511502 -315.696200400595    1.0483    4.0583   0.163   15
55852.208   -0.467622735548    0.564400799696    0.1358    0.4425   0.199   37
55853.271   -0.756832939321    1.132599599707    0.4122    0.8068  -0.415   22
55862.270    0.618451042248   -0.401601599975    1.0580    0.8720  -0.557    5
55869.269   -3.003946634582    1.019897999655    2.4692    1.6835  -0.805    8
55873.206    0.243634661520   -0.701701200345    0.2829    0.5744  -0.195   20
55876.270    9.355477518545   10.354697999837   11.1604   12.7193   0.990    3
55881.231    1.559845982413    0.535697999560    7.3832    0.8887   0.475    3
55883.269    0.021290915054   -3.501900000380    0.2329    0.6704  -0.098   35
55888.269    0.771229613376   -1.018400400010    0.8552    0.7530   0.025   15
55889.295    1.779642112877   -4.595400000529    0.9532    0.7480   0.239   11
55895.231   -0.359225105793    0.165297599608    0.2379    0.2392   0.290   42
55902.229   -0.304200547729   -0.832802400641    0.1146    0.4579   0.303   61
55908.208    0.060270892096    0.521899199857    0.1224    0.2411   0.156   37
55909.227   -1.034798544290   -1.411002000040    0.7291    1.6255   0.696    4
55911.269   -0.594760084950   -2.040102000134    0.3111    0.9198   0.205   14
55917.270   -0.302851163147    0.875599199546    1.2993    3.0513   0.168    5
55923.209   -0.061918850196    0.462797999923    0.2454    0.6159  -0.110   10
55925.269   -0.032834087377    0.652499999632    0.2113    0.6310  -0.107   32
55930.207   -0.070166055183    0.175298399796    0.1108    0.1796   0.008   39
55932.271    0.018142470342   -0.059799600471    0.4459    0.4604  -0.390   27
55946.384   -2.848922804913   -4.191102000650    2.9721    3.2156   0.912    7
55951.227    0.168668470716    0.473500799369    0.1272    0.2591  -0.053   21
55953.269   -0.046327575261    1.837699200014    0.6598    0.8848   0.508   22
55967.272   -0.389511679436   -0.536000400064    0.6995    1.5954   0.681   14
55972.229    1.384880571138    3.132500399872    0.6643    1.7641   0.657   21
55995.273   -0.019488173251   -0.768999599998    0.5605    0.6232   0.513   16
56000.207    0.377518729298   -1.146902400251    0.3137    0.9910  -0.399   11
56007.541    0.613805690330    1.449399599540    0.6636    1.9415   0.160   21
56013.206   -0.066118003704   -0.141199200332    0.1266    0.1996   0.013   55
56036.250   -0.372869746840    0.221299199765    0.1835    0.2110  -0.086  190
56044.267   -0.124888409188    1.317499199338    0.3426    0.6182   0.011   36
56051.269   -0.386661859377   -2.332501200186    0.4809    0.8365   0.072   22
56065.269   -0.352629489447    0.286199999699    0.3215    1.3681  -0.298    6
56072.271   -0.431488999161   -0.361900800527    0.2638    0.7081   0.178   21
56075.540    0.378716960717   -0.020800800282    3.8176    4.3792   0.780   12
56078.250   -0.549033389534   -1.446901200453    0.2530    0.8087   0.381   14
56084.207    0.289361356936    0.512200799374    1.7203    0.3932  -0.300    4
56091.205    0.116943510528   -0.160401600002    0.2007    0.2790  -0.018   18
56097.206    0.775425187479   -0.171702000618    0.3700    0.4506  -0.004   13
56098.251   -0.482314403717   -3.790400399950    0.5146    1.3099   0.149    7
56111.543    0.236438114195   -0.462499200538    0.5245    0.8819   0.132   32
56119.231    0.710958721281   -1.527501600407    0.5724    0.7311  -0.496    5
56121.269   -5.057653874708   -1.458302400437    5.7420    2.2877   0.459    3
