MJD,R.A. (mas),Dec. (mas),Err. R.A. (mas),Err. Dec. (mas),Corr.,Del.,RAcosDEC,BY,MJDtrunc,MJDReal
46664.234000000004,-1.838284101277,-3.647699998055,0.7602,0.6571,0.505,29.0,1.607833490940129,1986.638729048047,46664.0,46664
46669.224,-1.595082497769,-1.286301625214,0.7015,0.6405,0.312,44.0,-0.4476957922059217,1986.6523912152793,46669.0,46669
46674.242,0.220890643763,-4.066603207775,0.5897,0.5646,0.457,29.0,-0.13293776870155513,1986.666130043971,46674.0,46674
46679.239,1.7567174354069999,-0.7258031871520001,0.6747,0.5949,0.397,27.0,1.3139658948114377,1986.6798113765678,46679.0,46679
46684.236,-0.8079917765919999,-0.012600020227,0.3616,0.3365,0.5379999999999999,32.0,-0.8079276388474008,1986.693492709165,46684.0,46684
46689.247,1.121125256719,0.730997982146,0.3936,0.3391,0.555,47.0,0.8346872914668533,1986.7072123724918,46689.0,46689
46694.232,-0.807541963804,-2.289801602728,0.5088,0.455,0.607,28.0,0.5318766179887413,1986.7208608501776,46694.0,46694
46699.24,0.98749993024,-1.5025032098489999,0.4736,0.4259,0.65,26.0,0.0673870380762633,1986.7345722997766,46699.0,46699
46704.225999999995,0.229287476423,0.174999598812,0.4728,0.4478,0.546,23.0,0.22578547908800128,1986.7482235153716,46704.0,46704
46709.240999999995,-1.551660365422,1.197900019179,0.3783,0.3469,0.502,32.0,-0.5652919330323513,1986.7619541303354,46709.0,46709
46714.087,-0.566649890203,-0.023400008330999998,0.3812,0.3565,0.541,32.0,-0.5664947597643952,1986.7752220386335,46714.0,46714
46719.245,-0.231865462128,-1.947600020458,0.4658,0.3975,0.35100000000000003,52.0,0.0853149624260312,1986.7893441746223,46719.0,46719
46724.234000000004,0.430775499785,0.849999622687,0.4627,0.4008,0.564,33.0,0.2843046916292701,1986.8030036039452,46724.0,46724
46729.234000000004,0.980962119217,-0.527803183559,0.4397,0.3926,0.512,34.0,0.847468430344855,1986.81669315027,46729.0,46729
46734.242,0.010466012395,-1.9400003907319998,0.3682,0.3442,0.455,22.0,-0.003776903850403255,1986.8304045998689,46734.0,46734
46739.253,0.186404383028,-0.163000800057,0.3292,0.2886,0.599,55.0,0.18393354765713685,1986.8441242631957,46739.0,46739
