,MJD,Dec. (micas),Err. Dec. (micas)
404,48802.832,-830.300385246,607.0
405,48804.428,6469.498805473,4479.5
406,48805.502,-614.4984041609999,445.1
407,48809.837,-1304.301588334,624.8000000000001
408,48812.251,4233.898812345,671.3
409,48813.329000000005,-442.50120367899996,472.5
410,48816.835,-552.9995917189999,386.2
411,48820.25,-488.09880297499996,510.29999999999995
412,48821.332,390.700796515,372.59999999999997
413,48823.844000000005,722.70000544,884.8000000000001
414,48827.42,-1.198785071,530.2
415,48830.835,121.298401723,782.3
416,48833.125,1546.7004061520001,878.7
417,48834.25,-1311.1991876260001,494.0
418,48837.837,108.79919045700001,527.1
419,48840.135,3897.2987908890004,456.2
420,48841.252,-252.20158761399998,329.1
421,48844.832,-227.699996458,510.70000000000005
422,48845.19,1358.398807838,448.6
423,48848.25,15.598811842,413.2
424,48851.837,403.09919882,757.5
425,48855.252,-774.8999905740001,420.59999999999997
426,48856.333,-4747.298387997001,2960.3
427,48857.422,-5783.299189943001,3205.8
428,48858.835,-1469.401189524,945.1
429,48862.254,1468.69921025,506.70000000000005
430,48865.834,549.799207761,563.9
431,48869.252,60.098409448999995,671.8
432,48872.835,71.899196996,1117.0
433,48876.247,1618.8011954910003,716.3000000000001
434,48879.834,1874.699998439,1181.3
435,48882.916,-779.799597694,671.8
436,48886.832,-1719.10079132,992.4
437,48888.249,1883.0016074389998,782.2
438,48889.918,-978.5016061409999,1210.1
439,48893.837,389.00159893299997,909.2
440,48896.916,627.299991152,995.1
441,48900.832,226.501211387,545.2
442,48903.915,1781.3988108629999,1348.9
443,48907.834,-1264.899609055,821.1
444,48910.916,5533.099201216,514.3
445,48914.832,-852.800403095,602.6
446,48916.253,-839.401201347,1109.5
447,48917.922,2449.198808563,722.0999999999999
448,48921.834,-1346.500792465,857.6
449,48924.916,161.899191653,613.5
450,48928.832,885.8987911249999,1138.2
451,48931.254,-2598.2999943610002,799.3
452,48932.335,274.39920415899996,738.5
453,48935.834,741.200406651,623.6
454,48939.274000000005,-192.301189372,605.0
455,48940.377,-42.001192923999994,721.0999999999999
456,48942.835999999996,371.001610233,625.9
457,48946.254,375.501613803,798.3
458,48949.834,511.300800099,1443.8
459,48951.262,-3685.6007909590003,4666.0
460,48956.832,-875.599189953,829.3000000000001
461,48960.251,-758.599199457,523.8000000000001
462,48963.834,-450.100807825,783.8000000000001
463,48967.253,108.89999941800001,716.9
464,48970.835999999996,-491.698790483,556.5
465,48974.247,-1125.6011930529999,3629.5
466,48977.834,962.398800652,1227.2
467,48979.258,-359.600400657,552.3000000000001
468,48984.835999999996,-280.900806615,1003.4000000000001
469,48987.334,929.001592453,516.9
470,48991.834,-315.10080304999997,488.9
471,48994.917,200.80080958000002,1018.6999999999999
472,48998.835999999996,1011.8016120939999,954.4
473,49002.251,-152.70119888600001,527.4
474,49005.834,787.100407251,564.6999999999999
475,49009.253,558.698405939,524.5
476,49012.832,837.900014972,545.0
477,49016.251,-114.00119888100001,628.9
478,49019.837999999996,-326.401203665,586.7
479,49023.253,-441.201609647,521.8000000000001
480,49026.835999999996,62.89918985700001,480.6
481,49028.085,453.80160429399996,1221.1000000000001
482,49030.251,209.001609619,511.0
483,49033.834,271.900799476,478.9
484,49037.249,-1858.701608626,483.0
485,49040.832,876.801607319,507.1
486,49044.251,-842.000389412,540.9000000000001
487,49047.834,50.00040061999999,463.8
488,49051.253,47.901599487,712.6
489,49054.832,1187.499609046,367.09999999999997
490,49058.251,254.49839995399998,475.4
491,49061.834,-1249.49880842,513.2
492,49065.249,106.300811353,543.5
493,49068.835999999996,648.399606007,538.5
494,49072.251,92.599208301,607.4000000000001
495,49075.834,-739.501209068,465.2
496,49079.253,-664.700397124,732.8
497,49082.832,-2222.2007913800003,630.0
498,49085.254,-858.398408354,723.0999999999999
499,49089.834,2301.99841269,620.1
500,49093.257000000005,680.399992348,666.9000000000001
501,49096.832,1445.698805469,516.5999999999999
502,49100.251,-542.401195958,591.0
503,49103.834,-257.79959287300005,977.0
504,49107.249,899.6003941769999,667.3
505,49112.166,263.40120484700003,384.5
506,49112.166,-26.301597700000002,349.4
507,49113.254,-374.50078878,475.4
508,49119.251,6118.300797198,645.1
509,49121.420999999995,-4069.4004070469996,2599.6
510,49126.25,3785.799603406,474.1
511,49133.251,3030.300004525,361.5
512,49134.335999999996,-485.301603703,1269.7
513,49140.253,508.79881428000004,375.8
514,49141.342000000004,-191.199606547,1000.6999999999999
515,49147.251,-165.301193533,462.1
516,49148.34,1236.3984012610001,1103.2
517,49154.253,244.101596536,269.2
518,49161.251,-5801.198395261,280.9
519,49162.983,-8170.401596885,523.0
520,49164.064000000006,-60.199192831,695.6999999999999
521,49168.253,-4156.599595717,512.8000000000001
522,49175.251,1301.6987935539998,219.20000000000002
523,49182.253,-411.29999885899997,197.7
524,49189.252,3765.499195652,345.4
525,49196.25,-289.299592282,175.1
526,49197.334,10936.000802531,826.0
527,49203.252,-2975.900409297,187.9
528,49204.335999999996,-1601.200810342,1095.3999999999999
529,49205.417,-1074.8015853319998,863.0
530,49210.25,-394.898398781,230.2
531,49217.252,-3985.401602336,481.8
532,49223.169,-3490.7003879430004,480.7
533,49224.25,-4984.200009517,1609.6999999999998
534,49225.335,-4787.6004089180005,877.6
535,49231.252,-1282.899597754,231.4
536,49238.253,-2816.499596747,204.4
537,49245.252,14.299192230000001,326.29999999999995
538,49247.418,352.598411268,442.3
539,49252.253,-436.499988155,265.90000000000003
540,49259.252,-27.298790428,465.3
541,49260.333,-1433.401186546,919.8
542,49266.25,1731.2003990360001,686.3000000000001
543,49267.335,1817.499597223,558.2
544,49273.252,-187.801185803,307.2
545,49274.333,604.29961195,1496.3
546,49275.420999999995,-1293.90120378,1309.7
547,49280.25,-342.100798889,296.8
548,49281.335,-278.798398767,819.0
549,49287.252,-600.699598863,487.5
550,49294.25,154.000792918,334.7
551,49301.252,-429.69959110900004,283.9
552,49308.254,567.000014939,335.2
553,49309.331,2720.800813449,529.3
554,49315.252,-61.599595824,423.9
555,49322.246,532.5984005820001,297.70000000000005
556,49329.248,380.699989933,365.3
557,49331.418,232.599603578,724.5
558,49336.25,-45.698408258,317.2
559,49343.248,-112.100408955,247.9
560,49350.25,403.898405921,343.5
561,49357.252,-216.100801254,280.2
562,49359.418,-311.198388658,1233.9
563,49364.25,-213.80040777800002,394.4
564,49371.252,161.798408271,152.29999999999998
565,49378.25,362.99879582200003,277.9
566,49385.248,-70.49879400299999,263.90000000000003
567,49392.25,-97.40158759500001,278.7
568,49394.42,713.4012037109999,1437.2
569,49399.248,234.69840471099997,586.0
570,49406.265,317.800800076,571.2
571,49413.252,160.19999407,303.0
572,49420.25,639.3995988669999,534.1
573,49427.248,250.700401239,505.6
574,49434.25,556.4987958449999,669.5
575,49436.42,16.599611286,585.7
576,49441.252,-296.701185221,308.8
577,49448.25,-36.201595321,444.2
578,49455.248,192.60000954100002,354.0
579,49462.247,-183.09958989,310.0
580,49468.167,-396.298801775,1001.7
581,49469.249,-444.200401262,315.2
582,49476.25,364.70160012,290.3
583,49483.252,-577.900786425,373.40000000000003
584,49485.418,-1173.398402443,688.4
585,49490.254,33.001211364,336.4
586,49497.249,308.901601898,298.4
587,49504.25,-321.800391134,264.2
588,49511.252,-231.199200584,465.3
589,49518.254,813.3983982359999,675.3
590,49519.335,464.19840771300005,739.7
591,49525.252,-315.399597639,395.2
592,49530.917,-2294.600400887,1124.7
593,49532.25,280.50120306499997,324.90000000000003
594,49539.252,-196.599600599,259.6
595,49541.751,303.199206542,149.60000000000002
596,49546.251,-423.39960657499995,290.1
597,49548.42,-2485.101609295,1081.0
598,49553.255999999994,-92.00159354399999,331.0
599,49559.169,3208.899590845,1992.0
600,49560.254,740.9988143080001,366.20000000000005
601,49566.170999999995,-376.999193463,1198.7
