%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248  -36.031455866645 -311.286402002153    1.0197    3.5824   0.228   14
54056.270   -0.438837681311    0.473500800169    0.7239    0.8474  -0.705   10
54061.270   -0.752783842518    0.602200798028    1.6784    1.5260  -0.726    6
54070.270   -0.967798084409    0.817397998887    0.5461    0.7864  -0.452   18
54084.270    1.376046119922   -0.808199999724    0.9099    1.0948  -0.682   19
54091.272    0.268136501986   -1.557701999388    2.2764    1.4135   0.246    7
54097.207    0.241127736459    0.338198400485    0.8410    0.3576   0.060    5
54098.270    0.661311496708   -0.790498799219    0.4861    0.7212  -0.085   41
54105.268   -0.363931308809    0.689799599840    0.6124    0.9208  -0.540   24
54119.268    0.728758295704    0.202298398833    1.4482    1.1206  -0.757    7
54126.270   -0.117134744325   -1.591999201267    0.9200    1.3849  -0.092    5
54133.272    0.396161674009    2.377299598777    0.7320    1.1200  -0.453    9
54140.270   -2.849677588584    0.818297998961    0.8889    1.1980  -0.491   10
54161.272   -3.132138425908    0.239698798410    2.3148    2.0434  -0.793    5
54166.272    0.011785495093   -0.775198801151    1.3908    2.1056  -0.887   11
54182.270    1.981553004233   -1.484701200383    2.1548    3.5222  -0.919    5
54203.268   -1.614491300516    1.443499198572    0.4322    0.4536  -0.542   26
54216.249    1.234591883520   -0.947800801043    1.2946    1.1590  -0.870    6
54217.268   -0.222627505613    0.434599198229    0.5575    1.2574  -0.142   13
54224.270   -1.097466825717   -0.069501601274    0.5621    0.7636  -0.410   19
54231.268   -0.038049422867    0.553100400680    0.4232    0.9846  -0.564   17
54235.206    0.630725107921   -0.020401200729    1.4479    0.2003   0.495    9
54238.270    1.821448103780   -2.532499199148    1.8852    2.7770  -0.930   11
54245.268    1.404247358681   -3.505899599432    1.9749    2.9159  -0.918    6
54259.268    2.798496303612   -2.433801601853    2.4980    2.9788  -0.894    3
54266.270   -1.143871093049    3.352399199841    1.3577    1.9680  -0.787    9
54273.269   -0.240235926075    0.151999200426    2.3173    1.2731   0.367   11
54280.270   -2.945325626339    0.663497998943    2.4262    2.0742   0.399    4
