   DATE        X           sigma      Y         sigma 
49142.0890     -0.013      0.160      0.269      0.185 
49146.1650     -0.272      0.270     -0.178      0.258 
49147.8130      0.589      0.138      0.033      0.131 
49160.0020     -0.004      0.093      0.064      0.086 
49164.0630      0.230      0.050      0.173      0.052 
49181.0040      0.070      0.071     -0.129      0.062 
49183.3350      0.149      0.068      0.112      0.070 
49185.4320      0.216      0.062      0.028      0.057 
49188.0880      0.567      0.183     -0.385      0.226 
49190.3340      0.265      0.230      0.014      0.169 
49198.3740     -0.261      0.044     -0.003      0.045 
49202.1720      0.288      0.094     -0.537      0.095 
49204.3370     -0.182      0.193     -0.063      0.214 
49205.4190      0.108      0.174      0.395      0.192 
49209.0850      0.207      0.109      0.144      0.096 
49211.3350     -0.246      0.194     -0.354      0.192 
49219.4170     -0.163      0.051     -0.310      0.051 
49225.3360      0.450      0.180      0.696      0.200 
49230.0030     -0.057      0.134      0.013      0.154 
49231.2510     -0.697      0.139      0.401      0.144 
49232.3340     -0.416      0.110      0.105      0.111 
49233.4180      0.022      0.149     -0.179      0.157 
49237.0830      0.003      0.060     -0.038      0.053 
49246.3310     -0.098      0.163     -0.177      0.143 
49252.0020     -0.246      0.202     -0.596      0.226 
49254.0070      0.240      0.142     -0.067      0.150 
49258.0010     -0.030      0.166      0.055      0.166 
49259.9190     -0.190      0.177      0.034      0.191 
49261.0060      0.246      0.159     -0.275      0.174 
49274.3340     -0.266      0.204      0.192      0.195 
49275.4160     -0.077      0.149     -0.015      0.144 
49279.1670     -0.355      0.041     -0.184      0.043 
49286.0850     -0.280      0.091      0.035      0.076 
49293.0840     -0.180      0.065     -0.060      0.063 
49295.3330     -0.099      0.169     -0.121      0.172 
49300.0040      0.113      0.209     -0.181      0.231 
49321.1680     -0.013      0.048     -0.314      0.049 
49333.2470     -0.107      0.162      0.563      0.174 
49335.0860     -0.077      0.073      0.060      0.073 
49338.4160     -0.212      0.212      0.109      0.232 
49342.0050      0.013      0.126     -0.460      0.137 
49351.3340      0.098      0.044     -0.334      0.048 
49358.3460      0.060      0.188      0.199      0.169 
49365.2680     -0.166      0.039     -0.268      0.042 
49366.2690     -0.106      0.035      0.058      0.037 
49367.2690     -0.059      0.031     -0.021      0.033 
49368.2670     -0.144      0.032      0.054      0.032 
49369.2650     -0.104      0.061      0.116      0.054 
49370.2500     -0.158      0.038     -0.108      0.039 
49372.2670     -0.160      0.030      0.081      0.032 
49373.2600     -0.139      0.036      0.042      0.037 
49374.2660     -0.227      0.033     -0.090      0.037 
49375.2590     -0.057      0.034     -0.018      0.036 
49376.2670     -0.127      0.039     -0.069      0.043 
49377.2490     -0.030      0.032     -0.027      0.032 
49379.5470     -0.156      0.076     -0.288      0.092 
49385.9000     -0.253      0.137      0.126      0.166 
49391.0010     -0.506      0.164      0.511      0.156 
49398.0870     -0.140      0.190      0.106      0.185 
49400.0860     -0.686      0.226      1.009      0.198 
49405.0860      0.629      0.271      0.405      0.237 
49419.1630     -0.019      0.196      0.266      0.187 
49428.3370     -0.184      0.099      0.104      0.107 
49435.3340     -0.340      0.046      0.149      0.050 
49470.3330      0.136      0.255      0.572      0.252 
49471.4180     -0.011      0.048      0.124      0.052 
49484.3340     -0.772      0.119      0.103      0.122 
49489.0780     -0.375      0.454      0.904      0.438 
49490.2530     -0.111      0.057      0.195      0.058 
49491.3310     -0.297      0.218      0.421      0.220 
49496.0000      0.216      0.104      0.164      0.112 
49506.0010      0.169      0.092      0.262      0.113 
49512.3320      0.120      0.102      0.132      0.097 
49519.3350      0.102      0.202      0.239      0.173 
49528.7510     -0.327      0.129      0.580      0.126 
49533.0820      0.334      0.222     -0.253      0.224 
49534.4170     -0.177      0.108     -0.032      0.116 
49541.2500      0.192      0.174      0.426      0.180 
49545.1690      0.002      0.082      0.167      0.077 
49547.3320      0.149      0.128      0.201      0.116 
49552.1710     -0.053      0.051      0.227      0.048 
49555.4170      0.132      0.187      0.274      0.177 
49562.0830     -0.134      0.072     -0.079      0.071 
49573.0860     -0.317      0.095     -0.341      0.101 
49575.3320      0.097      0.225      0.018      0.209 
49576.4990     -0.052      0.089     -0.020      0.100 
49589.3340     -0.131      0.038      0.159      0.043 
49590.4160     -0.191      0.134     -0.369      0.151 
49603.3340      0.180      0.918      1.053      1.004 
49615.0790      0.163      0.089     -0.314      0.092 
49618.0870      0.072      0.095      0.032      0.105 
49622.0410     -0.005      0.153      0.125      0.165 
49629.0850      0.024      0.106     -0.304      0.104 
49639.1560      0.098      0.054     -0.145      0.057 
49643.0000     -0.089      0.415      0.047      0.474 
49645.3350      0.128      0.131      0.063      0.133 
49653.4180      0.031      0.033     -0.215      0.036 
49657.0010      0.134      0.181     -0.343      0.187 
49664.0870      0.146      0.143     -0.272      0.172 
49685.1680      0.048      0.043     -0.062      0.045 
49689.4910     -0.180      0.045     -0.037      0.044 
49692.0850     -0.212      0.083     -0.281      0.082 
49699.1680     -0.105      0.061     -0.068      0.066 
49715.0000     -0.205      0.019     -0.200      0.021 
49716.4170      0.015      0.038     -0.481      0.041 
49727.0430      0.010      0.058     -0.045      0.072 
49741.1680     -0.142      0.032     -0.210      0.037 
49744.0820     -0.180      0.093     -0.318      0.102 
49748.0860     -0.232      0.162     -0.402      0.167 
49750.3340     -0.213      0.423     -0.388      0.418 
49751.4170     -0.287      0.032      0.049      0.038 
49762.0890     -0.287      0.115     -0.304      0.116 
