   DATE        X           sigma      Y         sigma 
51198.2510     -0.062      0.060      0.115      0.060 
51205.2510      0.016      0.077      0.032      0.075 
51212.2510      0.061      0.091      0.197      0.098 
51219.2510     -0.012      0.062     -0.139      0.054 
51226.2510     -0.082      0.061      0.091      0.057 
51233.2510     -0.168      0.079     -0.098      0.067 
51240.2510     -0.186      0.068      0.066      0.056 
51247.2510     -0.269      0.089     -0.037      0.089 
51254.2510     -0.127      0.056      0.117      0.056 
51261.2510      0.048      0.060     -0.018      0.055 
51268.2510      0.019      0.060     -0.046      0.062 
51275.2510      0.183      0.067     -0.120      0.067 
51282.2510     -0.124      0.068     -0.008      0.065 
51289.2510      0.301      0.056      0.034      0.060 
51296.2510     -0.081      0.089     -0.133      0.088 
51303.2510      0.454      0.073      0.093      0.084 
51310.2510     -0.077      0.065     -0.183      0.075 
51317.2510      0.297      0.127     -0.001      0.139 
51324.2510      0.095      0.057      0.045      0.065 
51331.2510      0.306      0.102      0.010      0.106 
51338.2510      0.240      0.086     -0.398      0.102 
51345.2510      0.194      0.062      0.022      0.070 
51352.2510     -0.124      0.066      0.081      0.074 
51359.2510     -0.028      0.083     -0.020      0.081 
51366.2500      0.199      0.088      0.039      0.098 
51373.2520      0.043      0.133     -0.063      0.128 
51380.2500      0.005      0.101      0.216      0.093 
51387.2510     -0.160      0.074     -0.018      0.072 
51394.2510     -0.271      0.134     -0.022      0.123 
51401.2500      0.398      0.174     -0.228      0.157 
51408.2510      0.212      0.095      0.034      0.081 
51415.2510      0.332      0.073     -0.105      0.072 
51422.2510      0.228      0.069     -0.233      0.065 
51429.2500      0.280      0.108     -0.130      0.091 
51436.2510     -0.095      0.144     -0.132      0.133 
51443.2510      0.053      0.098      0.185      0.089 
51450.2510      0.316      0.128     -0.410      0.125 
51457.2510     -0.036      0.067      0.135      0.063 
51464.2510      0.074      0.078      0.168      0.080 
51471.2510      0.186      0.088      0.097      0.087 
51478.2510      0.137      0.089     -0.092      0.087 
51485.2510      0.344      0.119     -0.078      0.114 
51492.2500      0.199      0.064     -0.052      0.066 
51499.2500      0.047      0.069     -0.097      0.070 
51506.2510      0.267      0.064     -0.235      0.069 
51513.2510      0.265      0.069     -0.020      0.075 
51520.2500      0.109      0.054     -0.019      0.062 
51527.2500     -0.020      0.050     -0.098      0.052 
51534.2510      0.307      0.083     -0.244      0.084 
51541.2500     -0.015      0.091     -0.063      0.086 
51548.2500      0.207      0.078     -0.125      0.070 
51555.2510      0.122      0.066     -0.279      0.067 
51562.2510      0.055      0.079     -0.114      0.077 
51569.2510     -0.023      0.064      0.018      0.061 
51576.2500      0.142      0.065     -0.047      0.066 
51583.2500      0.215      0.080      0.072      0.081 
51590.2500      0.032      0.064     -0.191      0.058 
51597.2500      0.006      0.077     -0.130      0.072 
51604.2510      0.151      0.077     -0.147      0.062 
51611.2500     -0.082      0.078     -0.099      0.064 
51618.2510     -0.106      0.076      0.002      0.080 
51625.2510     -0.035      0.069     -0.139      0.068 
51632.2510      0.029      0.070     -0.025      0.070 
51639.2510     -0.034      0.091     -0.078      0.089 
51646.2510      0.148      0.088     -0.259      0.079 
51653.2500     -0.101      0.117     -0.085      0.094 
51660.2510      0.313      0.085      0.015      0.072 
51667.2510      0.188      0.121      0.157      0.100 
51674.2500      0.084      0.081     -0.089      0.085 
51681.2500      0.139      0.173      0.181      0.186 
51688.2510      0.104      0.084     -0.151      0.090 
51695.2510      0.235      0.121     -0.366      0.134 
51702.2500      0.151      0.080     -0.010      0.089 
51709.2480     -0.202      0.121     -0.283      0.141 
51716.2510     -0.048      0.077      0.069      0.084 
51723.2500      0.026      0.084      0.182      0.082 
51731.2500      0.054      0.120     -0.046      0.112 
51737.2510     -0.169      0.081     -0.118      0.085 
51744.2510      0.071      0.069      0.048      0.059 
51751.2500      0.068      0.119     -0.182      0.090 
51758.2510     -0.029      0.099     -0.127      0.099 
51765.2520      0.039      0.089      0.027      0.077 
51772.2510      0.077      0.156      0.087      0.121 
51779.2510      0.035      0.073      0.056      0.069 
51786.2510     -0.213      0.130      0.241      0.125 
51793.2490      0.308      0.194      0.450      0.185 
