   DATE        X           sigma      Y         sigma 
48748.1690     -0.045      0.095      0.080      0.109 
48750.2510      0.175      0.141     -0.215      0.100 
48753.8340      0.008      0.140     -0.129      0.193 
48755.0180      0.664      0.340     -0.041      0.474 
48757.2660      0.090      0.159      0.238      0.113 
48758.3380      0.264      0.272      0.543      0.299 
48759.4210     -0.084      0.260     -0.576      0.389 
48760.8310      0.226      0.095     -0.487      0.134 
48763.1690     -0.084      0.205      0.067      0.144 
48764.0610     -0.155      0.180      0.121      0.174 
48765.3310      0.068      0.113      0.062      0.081 
48767.8350      0.346      0.157      0.131      0.167 
48770.1730     -0.438      0.244     -0.107      0.204 
48771.2420     -0.003      0.148     -0.201      0.121 
48772.3350      0.332      0.152     -0.253      0.141 
48773.4230      0.315      0.212     -0.002      0.145 
48774.8350     -0.192      0.144      0.113      0.176 
48775.9150      0.029      0.220     -0.181      0.152 
48776.9960     -0.026      0.218     -0.067      0.164 
48778.2500      0.242      0.235     -0.433      0.254 
48781.8350      0.693      0.177     -0.081      0.172 
48786.3370      0.322      0.156      0.812      0.206 
48787.0450     -0.197      0.256     -0.064      0.258 
48788.8330      0.081      0.151     -0.313      0.146 
48790.1680     -0.735      0.183     -0.208      0.142 
48792.2510      0.054      0.235     -0.411      0.315 
48793.3350     -0.337      0.182     -0.882      0.251 
48794.4220     -0.271      0.289      0.092      0.204 
48795.8340      0.460      0.161      0.094      0.183 
48797.1690     -0.056      0.092      0.000      0.101 
48799.2530     -0.157      0.165     -0.516      0.176 
48801.7870      1.938      1.254      3.341      1.071 
48802.8310      0.743      0.141     -0.220      0.124 
48804.4180      0.232      0.092     -0.259      0.085 
48805.5010     -0.385      0.191     -0.179      0.165 
48809.8360      0.679      0.173     -0.279      0.147 
48811.0000      0.340      0.377      0.213      0.516 
48812.0620      0.021      0.083     -0.095      0.125 
48813.3290     -0.281      0.133     -0.165      0.152 
48816.8350      0.080      0.109      0.009      0.090 
48819.1690     -0.075      0.086     -0.091      0.074 
48820.2510     -0.334      0.137     -0.425      0.173 
48821.3320     -0.172      0.120     -0.261      0.148 
48823.8430      0.057      0.243      0.038      0.247 
48825.3330      0.044      0.055     -0.215      0.052 
48826.3370     -0.038      0.056     -0.130      0.054 
48827.4210     -0.195      0.237     -0.007      0.177 
48828.6680     -0.024      0.151     -0.549      0.182 
48829.7490      0.022      0.171     -0.043      0.150 
48830.8340     -0.015      0.174     -0.269      0.135 
48831.8760      0.134      0.075     -0.358      0.084 
48833.1260      0.030      0.072     -0.417      0.080 
48834.2490     -0.214      0.130     -0.245      0.189 
48835.4160     -0.243      0.070      0.092      0.073 
48836.6680     -0.279      0.079     -0.203      0.087 
48837.8350      0.035      0.174      0.019      0.133 
48838.8790      0.015      0.096     -0.058      0.097 
48840.1260     -0.115      0.072     -0.308      0.086 
48841.2530     -0.107      0.091      0.045      0.128 
48842.4170     -0.024      0.059     -0.393      0.063 
48843.6670     -0.232      0.061     -0.098      0.068 
48844.8330      0.455      0.152      0.107      0.119 
48846.1640     -0.151      0.067     -0.302      0.081 
48847.2580     -0.204      0.167     -0.176      0.140 
48848.2500     -0.333      0.106     -0.319      0.136 
48851.8370     -0.248      0.144     -0.124      0.142 
48853.1650     -0.249      0.099     -0.294      0.087 
48855.2510      0.055      0.134     -0.338      0.154 
48856.3330      0.044      0.364     -0.464      0.240 
48857.4230      0.513      0.327     -0.077      0.226 
48858.8360      0.308      0.184     -0.083      0.169 
48859.9210     -0.078      0.158     -0.732      0.261 
48861.0020      0.098      0.176     -0.045      0.184 
48862.2540     -0.239      0.150     -0.073      0.161 
48863.3340     -0.213      0.174      0.378      0.179 
48864.4230      0.015      0.146     -0.288      0.183 
48865.8350     -0.203      0.107     -0.102      0.102 
48867.4170     -0.180      0.091     -0.062      0.093 
48869.2510     -0.025      0.135     -0.348      0.137 
48872.8340      0.241      0.125     -0.574      0.142 
48874.4190     -0.370      0.397     -0.451      0.282 
48876.2450     -0.363      0.186     -0.432      0.224 
48879.8330     -0.122      0.103     -0.136      0.121 
48881.2650     -0.012      0.250     -0.260      0.240 
48882.4320      0.081      0.212      0.079      0.226 
48886.8330     -0.197      0.110     -0.248      0.131 
48888.1700     -0.109      0.088     -0.154      0.086 
48889.9180     -0.311      0.208      0.003      0.216 
48893.8360     -0.362      0.127     -0.051      0.151 
48896.9160     -0.190      0.145      0.125      0.164 
48900.8320     -0.261      0.117     -0.366      0.129 
48903.9140     -0.571      0.180     -0.504      0.194 
48907.8350     -0.334      0.125     -0.058      0.150 
48909.2510     -0.109      0.061     -0.148      0.053 
48910.9170     -0.149      0.107     -0.201      0.116 
48914.8330     -0.219      0.098      0.005      0.120 
48916.2510      0.012      0.211      0.545      0.232 
48917.9210     -0.031      0.104     -0.178      0.120 
48919.4170     -0.429      0.296     -0.215      0.361 
48921.8320      0.040      0.118      0.174      0.136 
48924.9170     -0.094      0.104     -0.296      0.116 
48928.8310      0.098      0.098     -0.027      0.117 
48930.0020     -0.337      0.236     -0.739      0.267 
48931.1690     -0.036      0.096     -0.187      0.114 
48932.3330     -0.210      0.087     -0.166      0.095 
48935.8330     -0.072      0.087     -0.089      0.099 
48937.2530     -0.085      0.107      0.218      0.097 
48939.2730     -0.102      0.212     -0.420      0.230 
48940.3760     -0.028      0.128     -0.237      0.157 
48942.8350     -0.192      0.117      0.072      0.114 
48944.4170     -0.211      0.203     -0.068      0.176 
48946.2530     -0.390      0.166     -0.441      0.292 
48947.3340     -0.363      0.072     -0.251      0.088 
48949.8330     -0.420      0.126     -0.145      0.131 
48956.8320      0.027      0.103      0.046      0.106 
48958.0010     -0.322      0.157     -0.558      0.207 
48959.0850     -0.143      0.068     -0.267      0.076 
48960.2510     -0.054      0.117      0.144      0.106 
48962.3460     -0.347      0.118     -0.049      0.109 
48963.8330     -0.400      0.098     -0.145      0.105 
48965.2490     -0.125      0.222      0.132      0.164 
48967.2510     -0.214      0.233     -0.219      0.184 
