   DATE        X           sigma      Y         sigma 
48491.3430      0.441      0.176     -0.320      0.145 
48492.5200     -0.436      0.184     -0.136      0.292 
48494.3330     -0.357      0.089     -0.070      0.108 
48495.4230     -0.288      0.204     -0.373      0.146 
48497.2520      0.132      0.308      0.664      0.414 
48498.3600     -0.243      0.179     -0.617      0.144 
48499.8230      0.034      0.095     -0.196      0.111 
48501.8340     -0.358      0.163     -0.070      0.216 
48504.1680     -0.180      0.096     -0.191      0.078 
48505.3570     -0.052      0.176      0.056      0.144 
48506.4190     -0.117      0.090      0.042      0.084 
48508.1870     -0.905      0.201     -0.397      0.294 
48509.1520     -1.584      0.453      0.489      0.627 
48512.2730     -0.533      0.168      0.268      0.139 
48513.3360     -0.721      0.225     -0.305      0.183 
48515.8360     -0.062      0.141     -0.012      0.164 
48517.5520    -10.359      3.526     -9.633      3.328 
48519.2660      0.012      0.167     -0.105      0.132 
48522.8340     -0.489      0.143      0.144      0.173 
48524.2540     -0.707      0.227      0.006      0.179 
48525.0830     -0.370      0.138     -0.155      0.202 
48526.2850     -0.349      0.187     -0.103      0.150 
48529.8340     -0.081      0.127     -0.368      0.151 
48532.2480     -0.088      0.238      0.326      0.200 
48533.3340     -0.098      0.189     -0.398      0.136 
48535.7380     -0.114      0.105     -0.065      0.118 
48536.8320     -0.347      0.126     -0.071      0.163 
48538.2570      0.066      0.488      0.381      0.330 
48540.2570     -0.035      0.207     -0.051      0.133 
48543.8320     -0.067      0.108     -0.099      0.138 
48547.3340     -0.088      0.255      0.144      0.214 
48549.5510     -4.944      3.853     -5.178      3.307 
48550.8340     -0.413      0.156     -0.113      0.193 
48554.3360      0.417      0.480      0.663      0.652 
48555.4170     -0.352      0.172      0.109      0.262 
48557.8340      0.161      0.109      0.016      0.131 
48559.1670      0.076      0.099      0.122      0.101 
48561.2540      0.257      0.201     -0.200      0.134 
48562.4180     -0.301      0.076     -0.067      0.085 
48564.8340     -0.082      0.123     -0.050      0.142 
48568.2530      0.030      0.147     -0.054      0.126 
48569.3340      0.543      0.187      0.094      0.227 
48571.0390     -0.027      0.237     -0.098      0.156 
48571.8360     -0.290      0.280      0.074      0.263 
48573.1720     -0.002      0.075     -0.100      0.102 
48575.2510     -0.235      0.159     -0.013      0.136 
48576.3260      0.148      0.184      0.295      0.209 
48577.4360     -0.011      0.113     -0.041      0.135 
48578.8360      0.149      0.151     -0.070      0.156 
48580.2410     -0.164      0.153      0.046      0.116 
48581.2930     -0.639      0.209     -0.293      0.208 
48582.2520     -0.152      0.170      0.018      0.147 
48585.1740      0.204      0.361      0.579      0.487 
48585.8340      0.079      0.143     -0.023      0.133 
48586.5120      3.385      3.493      3.430      2.791 
48587.2520      0.160      0.173     -0.077      0.161 
48588.0830      0.014      0.331      1.011      0.298 
48591.7510     -0.511      0.338     -0.366      0.259 
48592.8350     -0.008      0.168      0.082      0.165 
48593.4230      0.206      0.592      0.382      0.731 
48594.3270     -0.421      0.461     -0.675      0.339 
